message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=4.289895, y=-0.028416])";"30";"turtlesim1.sim1";"1758887926.407383570";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.283224, y=-0.031297])";"30";"turtlesim1.sim1";"1758887926.423098670";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.289895, y=-0.028416])";"30";"turtlesim2.sim2";"1758887926.423698264";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.283224, y=-0.031297])";"30";"turtlesim2.sim2";"1758887926.439277752";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.289895, y=-0.028416])";"30";"turtlesim3.sim3";"1758887926.439277806";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.276552, y=-0.031297])";"30";"turtlesim1.sim1";"1758887926.439318512";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.276552, y=-0.031297])";"30";"turtlesim2.sim2";"1758887926.455713151";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.283224, y=-0.031297])";"30";"turtlesim3.sim3";"1758887926.455713195";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.269881, y=-0.031297])";"30";"turtlesim1.sim1";"1758887926.455754836";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=4.269881, y=-0.031297])";"30";"turtlesim2.sim2";"1758887926.471558146";"/home/nurshat/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
